rank,name,marketcap,transactionvalue,createdAt
206,모스코인,453 억원,34 억원,2025-02-25T15:14:22.334883
207,레이,427 억원,67 억원,2025-02-25T15:14:22.334883
208,체인바운티,415 억원,80 억원,2025-02-25T15:14:22.334883
209,포켓네트워크,415 억원,10 억원,2025-02-25T15:14:22.334883
210,스웰네트워크,368 억원,150 억원,2025-02-25T15:14:22.334883
211,아하토큰,364 억원,31 억원,2025-02-25T15:14:22.334883
212,파리생제르맹,246 억원,54 억원,2025-02-25T15:14:22.334883
213,FC바르셀로나,219 억원,105 억원,2025-02-25T15:14:22.334883
214,퀴즈톡,218 억원,12 억원,2025-02-25T15:14:22.334883
215,루미웨이브,200 억원,15 억원,2025-02-25T15:14:22.334883
216,옵저버,166 억원,105 억원,2025-02-25T15:14:22.334883
217,유벤투스,160 억원,616 억원,2025-02-25T15:14:22.334883
218,맨체스터시티,139 억원,55 억원,2025-02-25T15:14:22.334883
219,아틀레티코마드리드,132 억원,30 억원,2025-02-25T15:14:22.334883
220,랠리,112 억원,2 억원,2025-02-25T15:14:22.334883
221,AC밀란,108 억원,45 억원,2025-02-25T15:14:22.334883
222,인터밀란,97 억원,15 억원,2025-02-25T15:14:22.334883
223,토트넘홋스퍼,67 억원,12 억원,2025-02-25T15:14:22.334883
224,나폴리,56 억원,7 억원,2025-02-25T15:14:22.334883
225,밸리디티,55 억원,1 억원,2025-02-25T15:14:22.334883
226,아스날,52 억원,5 억원,2025-02-25T15:14:22.334883
227,고체인,25 억원,0 억원,2025-02-25T15:14:22.334883
