id,name,weeklyGain,monthlyGain,threemonthGain,sixmonthGain,yearlyGain,createdAt
128,도지코인,-14.23%,-25.12%,-29.17%,+165.79%,+247.77%,2025-02-10T17:16:45.478346
129,빅타임,-14.24%,-49.54%,-59.82%,-,-,2025-02-10T17:16:45.478346
130,캣인어독스월드,-14.29%,-46.77%,-67.81%,-,-,2025-02-10T17:16:45.478346
131,시아코인,-14.42%,-34.59%,-21.79%,-1.41%,-50.58%,2025-02-10T17:16:45.478346
132,이더리움네임서비스,-14.79%,-19.26%,+50.31%,+44.29%,-,2025-02-10T17:16:45.478346
133,헤데라,-14.90%,-16.32%,+297.50%,+385.91%,+245.46%,2025-02-10T17:16:45.478346
134,봉크,-15.02%,-36.70%,-,-,-,2025-02-10T17:16:45.478346
135,수이,-15.04%,-34.86%,+5.97%,+269.79%,+111.61%,2025-02-10T17:16:45.478346
136,그래비티,-15.05%,-39.71%,-35.32%,-48.19%,-,2025-02-10T17:16:45.478346
137,렌더토큰,-15.35%,-39.46%,-,-,-,2025-02-10T17:16:45.478346
138,페페,-15.51%,-46.07%,-,-,-,2025-02-10T17:16:45.478346
139,아카시네트워크,-15.54%,-35.41%,-37.14%,-19.39%,-,2025-02-10T17:16:45.478346
140,체인링크,-15.66%,-5.71%,+43.76%,+95.55%,+4.85%,2025-02-10T17:16:45.478346
141,웜홀,-15.86%,-30.45%,-26.21%,-,-,2025-02-10T17:16:45.478346
142,쎄타토큰,-15.90%,-36.44%,+0.19%,+25.72%,+49.35%,2025-02-10T17:16:45.478346
143,에이다,-16.14%,-28.52%,+30.84%,+126.45%,+45.37%,2025-02-10T17:16:45.478346
144,타이코,-16.38%,-32.72%,-29.89%,-39.22%,-,2025-02-10T17:16:45.478346
145,모카버스,-16.67%,-40.04%,-,-,-,2025-02-10T17:16:45.478346
146,스텔라루멘,-16.80%,-27.76%,+152.46%,+255.50%,+219.43%,2025-02-10T17:16:45.478346
147,니어프로토콜,-17.03%,-35.61%,-35.53%,-16.27%,+15.84%,2025-02-10T17:16:45.478346
148,비체인,-17.41%,-25.68%,+30.96%,+57.00%,+23.21%,2025-02-10T17:16:45.478346
149,주피터,-18.65%,+4.58%,-23.20%,+15.03%,-,2025-02-10T17:16:45.478346
150,맨틀,-18.76%,-10.40%,+48.76%,+81.98%,-,2025-02-10T17:16:45.478346
151,애니메코인,-19.31%,-,-,-,-,2025-02-10T17:16:45.478346
152,크로노스,-19.54%,-32.75%,-43.07%,+11.29%,+22.35%,2025-02-10T17:16:45.478346
153,무브먼트,-23.03%,-41.47%,-,-,-,2025-02-10T17:16:45.478346
154,빔,-23.03%,-55.64%,-50.61%,-14.68%,-,2025-02-10T17:16:45.478346
155,비토르토큰,-23.60%,-,-,-,-,2025-02-10T17:16:45.478346
156,버추얼프로토콜,-28.06%,-,-,-,-,2025-02-10T17:16:45.478346
157,베라체인,-,-,-,-,-,2025-02-10T17:16:45.478346
